Заказчик;Лоты;Сумма, планируемая для закупки, тенге;Способ;Статус;Код закупки;Наименование;Дата начала;Дата окончания;link
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;116 905 164.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434063;Технические услуги по отработке скважин с помощью оборудования автономного газлифта 2025 году м/р Жанажол и Северная Трува;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434063
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;146 434 640.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434058;Услуги по химической очистке оборудования ЖНГК;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434058
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;190 278 860.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434052;Ремонтно-восстановительные работы нагревательных печей JM-ZKX250 с заменой системы трубного пучка на объекте ЦДГиК;25.04.2025 09:00:00;28.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434052
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;55 000 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434051;Разработка проекта консервации и ликвидации скважин расположенных в контуре подземных вод подсолевых залежей месторождения Кенкияк;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434051
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;5 676 982.40;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434001;Пенообразователь.;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434001
"Акционерное общество ""СНПС-Актобемунайгаз""";25.0;8 570 123.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434000;пластиковые, лакокрасочные изделия, дорожные знаки;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434000
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;111 887.97;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433993;Кабель (среди ОТП);25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433993
"Акционерное общество ""СНПС-Актобемунайгаз""";8.0;379 986.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433975;Контрольно-измерительные приборы;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433975
"Акционерное общество ""СНПС-Актобемунайгаз""";17.0;120 496 774.81;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433512;Трубы бесшовные, стальной прокат, железобетонные изделия, лесоматериалы;18.04.2025 09:00:00;05.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433512
"Акционерное общество ""СНПС-Актобемунайгаз""";4.0;717 712.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433903;Лабораторные испытания огнезащитной обработки деревянных и стальных конструкций;24.04.2025 09:00:00;13.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433903
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;158 498 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433426;Высокоэффективный комбинированный растворитель обессеривания;17.04.2025 09:00:00;20.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433426
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;6 483 591.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433866;Установка приточно-вытяжной вентиляции в помещениях горелки печей на ЦПН-3 ЖНГК;24.04.2025 09:00:00;13.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433866
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;681 267 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433846;Работы при бурении бокового ствола скважины м/р Кенкияк – подсолевое с последующим проведением гидропескоструйной перфорации на 2025год.;23.04.2025 09:00:00;26.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433846
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;101 745 687.50;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433839;"Замена задвижки с электроприводом и задвижек на питательный электронасос (ПЭН) №3;4 Расширения ГТЭС-45";23.04.2025 09:00:00;26.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433839
"Акционерное общество ""СНПС-Актобемунайгаз""";19.0;15 705 379.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433251;Стальные детали трубопровода на остановочный ремонт;16.04.2025 09:00:00;08.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433251
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;21 726 883.93;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433835;Устройство шатровой кровли здания КТП-1 ГПЗ-3;23.04.2025 09:00:00;12.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433835
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;412 380.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433825;Комплект тапочек на кожаной подошве, для работников химической лаборатории;23.04.2025 09:00:00;12.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433825
